Match,Year,Match_venue,Match_time,Toss_winner,Toss_decision,Team1,Score,Team1_score,Team2,Team2_score,Team2_score,Wicket_taken,Winning_team,Result,Norm_win,Winning_margin,MOM,,,
1,2008,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,165,165/6,RCB,166/5,166,5,Royal Challengers Bangalore,Lost,5,5 wickets (with 2 balls remaining),MV Boucher,,,
2,2008,"Dr DY Patil Sports Academy, Mumbai",night,Deccan Chargers,field,Mumbai Indians,154,154/7,Deccan Chargers,155/0,155,0,Deccan Chargers,Lost,120,10 wickets (with 48 balls remaining),AC Gilchrist,,,
3,2008,"Dr DY Patil Sports Academy, Mumbai",day/night,Delhi Daredevils,field,Mumbai Indians,162,162/8,Delhi Daredevils,133,133,10,Mumbai Indians,Win,29,29 runs,SM Pollock,,,2.5
4,2008,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",night,Deccan Chargers,field,Mumbai Indians,178,178/7,Deccan Chargers,153/7,153,7,Mumbai Indians,Win,25,25 runs,DJ Bravo,,,2.5
5,2008,"Feroz Shah Kotla, Delhi",night,Delhi Daredevils,field,Mumbai Indians,176,176/8,Delhi Daredevils,179/5,179,5,Delhi Daredevils,Lost,2.5,5 wickets (with 1 ball remaining),KD Karthik,,,
6,2008,"Sawai Mansingh Stadium, Jaipur",night,Rajasthan Royals,field,Mumbai Indians,145,145/7,Rajasthan Royals,146/5,146,5,Rajasthan Royals,Lost,2.5,5 wickets (with 0 balls remaining),Sohail Tanvir,,,
7,2008,"MA Chidambaram Stadium, Chepauk, Chennai",night,Mumbai Indians,field,Mumbai Indians,202,202/7,Chennai Super Kings,208/5,208,5,Chennai Super Kings,Lost,6,6 runs,SR Tendulkar,,,166.5
8,2008,"Punjab Cricket Association Stadium, Mohali, Chandigarh",night,Mumbai Indians,field,Mumbai Indians,116,116/9,Kings XI Punjab,182,182,10,Kings XI Punjab,Lost,66,66 runs,SR Tendulkar,,,348
9,2008,"Eden Gardens, Kolkata",night,Kolkata Knight Riders,bat,Mumbai Indians,138,138/3,Kolkata Knight Riders,137/8,137,8,Mumbai Indians,Win,28,7 wickets (with 8 balls remaining),JP Duminy,,,
10,2008,"Dr DY Patil Sports Academy, Mumbai",night,Mumbai Indians,field,Mumbai Indians,104,104/3,Rajasthan Royals,103,103,10,Mumbai Indians,Win,100,7 wickets (with 29 balls remaining),JH Kallis,,,
11,2008,"Wankhede Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,158,158/1,Chennai Super Kings,156/6,156,6,Mumbai Indians,Win,110,9 wickets (with 37 balls remaining),A Nehra,,,
12,2008,"Wankhede Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,68,68/2,Kolkata Knight Riders,67,67,10,Mumbai Indians,Win,130,8 wickets (with 87 balls remaining),JP Duminy,,,
13,2008,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,field,Mumbai Indians,188,188,Kings XI Punjab,189/4,189,4,Kings XI Punjab,Lost,1,1 run,ML Hayden,,,30
14,2008,"M Chinnaswamy Stadium, Bangalore",day/night,Mumbai Indians,field,Mumbai Indians,126,126/1,RCB,122/9,122,9,Mumbai Indians,Win,54,9 wickets (with 12 balls remaining),V Sehwag,,,
15,2009,"Newlands, Cape Town", ,Chennai Super Kings,field,Mumbai Indians,165,165/7,Chennai Super Kings,146/7,146,7,Mumbai Indians,Win,19,19 runs,YK Pathan,,,17.5
16,2009,"Kingsmead, Durban",day/night,no toss,no,Mumbai Indians,0,0,Rajasthan Royals,0,0,0,Match abandoned without a ball bowled,NR,50,0,,,,12
17,2009,"St George's Park, Port Elizabeth",day/night,Mumbai Indians,bat,Mumbai Indians,187,187/6,Kolkata Knight Riders,95,95,10,Mumbai Indians,Win,92,92 runs,JH Kallis,,,67.5
18,2009,"Buffalo Park, East London", ,Mumbai Indians,bat,Mumbai Indians,148,148/6,Kolkata Knight Riders,139/6,139,6,Mumbai Indians,Win,9,9 runs,Harbhajan Singh,,,31.5
19,2009,"New Wanderers Stadium, Johannesburg",day/night,Mumbai Indians,bat,Mumbai Indians,149,149/4,RCB,150/1,150,1,Royal Challengers Bangalore,Lost,49.5,9 wickets (with 11 balls remaining),AT Rayudu,,,
20,2009,"Buffalo Park, East London",day/night,Mumbai Indians,bat,Mumbai Indians,116,116,Delhi Daredevils,118/3,118,3,Delhi Daredevils,Lost,24.5,7 wickets (with 7 balls remaining),KC Sangakkara,,,
21,2009,"St George's Park, Port Elizabeth", ,Mumbai Indians,bat,Mumbai Indians,157,157/2,RCB,141/7,141,7,Mumbai Indians,Win,16,16 runs,SR Tendulkar,,,24
22,2009,"St George's Park, Port Elizabeth", ,Mumbai Indians,bat,Mumbai Indians,147,147/5,Chennai Super Kings,151/3,151,3,Chennai Super Kings,Lost,17.5,7 wickets (with 5 balls remaining),KA Pollard,,,
23,2009,"SuperSport Park, Centurion", ,Delhi Daredevils,field,Mumbai Indians,165,165/8,Delhi Daredevils,166/6,166,6,Delhi Daredevils,Lost,30,4 wickets (with 15 balls remaining),R McLaren,,,
24,2009,"Kingsmead, Durban", ,Deccan Chargers,bat,Mumbai Indians,156,156/7,Deccan Chargers,168/9,168,9,Deccan Chargers,Lost,12,12 runs,M Kartik,,,76
25,2009,"Kingsmead, Durban",day/night,Kings XI Punjab,bat,Mumbai Indians,116,116/7,Kings XI Punjab,119/8,119,8,Kings XI Punjab,Lost,3,3 runs,KA Pollard,,,40.5
26,2009,"SuperSport Park, Centurion",day/night,Deccan Chargers,bat,Mumbai Indians,126,126/8,Deccan Chargers,145/6,145,6,Deccan Chargers,Lost,19,19 runs,BB McCullum,,,3.5
27,2009,"SuperSport Park, Centurion",day/night,Kings XI Punjab,bat,Mumbai Indians,122,122/2,Kings XI Punjab,119/9,119,9,Mumbai Indians,Win,88,8 wickets (with 22 balls remaining),Harbhajan Singh,,,
28,2009,"Kingsmead, Durban",day/night,Rajasthan Royals,bat,Mumbai Indians,143,143,Rajasthan Royals,145/7,145,7,Rajasthan Royals,Lost,2,2 runs,SL Malinga,,,8
29,2010,"Brabourne Stadium, Mumbai",day/night,Mumbai Indians,bat,Mumbai Indians,212,212/6,Rajasthan Royals,208/7,208,7,Mumbai Indians,Win,4,4 runs,J Botha,,,108.5
30,2010,"Feroz Shah Kotla, Delhi",night,Delhi Daredevils,field,Mumbai Indians,218,218/7,Delhi Daredevils,120,120,10,Mumbai Indians,Win,98,98 runs,KA Pollard,,,9
31,2010,"Brabourne Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,151,151/9,RCB,155/3,155,3,Royal Challengers Bangalore,Lost,17.5,7 wickets (with 5 balls remaining),R Sharma,,,
32,2010,"Dr DY Patil Sports Academy, Mumbai",night,Deccan Chargers,field,Mumbai Indians,172,172/7,Deccan Chargers,131,131,10,Mumbai Indians,Win,41,41 runs,AT Rayudu,,,76
33,2010,"Brabourne Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,178,178/5,Deccan Chargers,115,115,10,Mumbai Indians,Win,63,63 runs,SR Watson,,,2.5
34,2010,"Punjab Cricket Association Stadium, Mohali, Chandigarh",night,Mumbai Indians,bat,Mumbai Indians,154,154/9,Kings XI Punjab,158/4,158,4,Kings XI Punjab,Lost,12,6 wickets (with 4 balls remaining),KA Pollard,,,
35,2010,"Sawai Mansingh Stadium, Jaipur",night,Rajasthan Royals,field,Mumbai Indians,174,174/5,Rajasthan Royals,137/8,137,8,Mumbai Indians,Win,37,37 runs,S Nadeem,,,27.5
36,2010,"Brabourne Stadium, Mumbai",day/night,Mumbai Indians,bat,Mumbai Indians,183,183/4,Delhi Daredevils,144/7,144,7,Mumbai Indians,Win,39,39 runs,SE Marsh,,,1
37,2010,"M Chinnaswamy Stadium, Bangalore",day/night,Royal Challengers Bangalore,field,Mumbai Indians,191,191/4,RCB,134/9,134,9,Mumbai Indians,Win,57,57 runs,SL Malinga,,,5
38,2010,"Eden Gardens, Kolkata",night,Mumbai Indians,bat,Mumbai Indians,133,133/8,Kolkata Knight Riders,135/1,135,1,Kolkata Knight Riders,Lost,67.5,9 wickets (with 15 balls remaining),CH Gayle,,,
39,2010,"Dr DY Patil Sports Academy, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,184,184/5,RCB,149/9,149,9,Mumbai Indians,Win,35,35 runs,RG Sharma,,,81
40,2010,"Brabourne Stadium, Mumbai",night,Kolkata Knight Riders,bat,Mumbai Indians,156,156/3,Kolkata Knight Riders,155/3,155,3,Mumbai Indians,Win,31.5,7 wickets (with 9 balls remaining),KA Pollard,,,
41,2010,"Brabourne Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,181,181/5,Chennai Super Kings,180/2,180,2,Mumbai Indians,Win,15,5 wickets (with 6 balls remaining),KD Karthik,,,
42,2010,"Brabourne Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,164,164/6,Kings XI Punjab,163,163,10,Mumbai Indians,Win,6,4 wickets (with 3 balls remaining),RG Sharma,,,
43,2010,"MA Chidambaram Stadium, Chepauk, Chennai",night,Chennai Super Kings,bat,Mumbai Indians,141,141/9,Chennai Super Kings,165/4,165,4,Chennai Super Kings,Lost,24,24 runs,V Sehwag,,,10.5
44,2010,"Dr DY Patil Sports Academy, Mumbai",night,Chennai Super Kings,bat,Mumbai Indians,146,146/9,Chennai Super Kings,168/5,168,5,Chennai Super Kings,Lost,22,22 runs,DR Smith,,,2
45,2011,"Wankhede Stadium, Mumbai",night,Kochi Tuskers Kerala,field,Mumbai Indians,182,182/2,Kochi Tuskers Kerala,184/2,184,2,Kochi Tuskers Kerala,Lost,24,8 wickets (with 6 balls remaining),RG Sharma,,,
46,2011,"Wankhede Stadium, Mumbai",night,Chennai Super Kings,field,Mumbai Indians,164,164/4,Chennai Super Kings,156/9,156,9,Mumbai Indians,Win,8,8 runs,I Sharma,,,3.5
47,2011,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",day/night,Deccan Chargers,field,Mumbai Indians,172,172/4,Deccan Chargers,135/8,135,8,Mumbai Indians,Win,37,37 runs,MG Johnson,,,3
48,2011,"Sawai Mansingh Stadium, Jaipur",day/night,Rajasthan Royals,field,Mumbai Indians,94,94/8,Rajasthan Royals,95/3,95,3,Rajasthan Royals,Lost,38.5,7 wickets (with 11 balls remaining),SR Tendulkar,,,
49,2011,"Wankhede Stadium, Mumbai",day/night,Kings XI Punjab,field,Mumbai Indians,159,159/5,Kings XI Punjab,136/8,136,8,Mumbai Indians,Win,23,23 runs,AP Tare,,,3
50,2011,"Dr DY Patil Sports Academy, Mumbai",night,Pune Warriors,field,Mumbai Indians,160,160/7,Pune Warriors,139/7,139,7,Mumbai Indians,Win,21,21 runs,KA Pollard,,,3.5
51,2011,"Wankhede Stadium, Mumbai",night,Delhi Daredevils,field,Mumbai Indians,178,178/4,Delhi Daredevils,146,146,10,Mumbai Indians,Win,32,32 runs,PA Patel,,,2.5
52,2011,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,133,133/5,Rajasthan Royals,134/0,134,0,Rajasthan Royals,Lost,101,10 wickets (with 41 balls remaining),MM Sharma,,,
53,2011,"Feroz Shah Kotla, Delhi",day/night,Delhi Daredevils,bat,Mumbai Indians,99,99/2,Delhi Daredevils,95,95,10,Mumbai Indians,Win,76,8 wickets (with 19 balls remaining),M Vijay,,,
54,2011,"M Chinnaswamy Stadium, Bangalore",night,Mumbai Indians,field,Mumbai Indians,143,143/1,RCB,140/4,140,4,Mumbai Indians,Win,40.5,9 wickets (with 9 balls remaining),RG Sharma,,,
55,2011,"Wankhede Stadium, Mumbai",day/night,Pune Warriors,bat,Mumbai Indians,124,124/3,Pune Warriors,118,118,10,Mumbai Indians,Win,3.5,7 wickets (with 0 balls remaining),DR Smith,,,
56,2011,"Punjab Cricket Association Stadium, Mohali, Chandigarh",night,Mumbai Indians,field,Mumbai Indians,87,87,Kings XI Punjab,163/8,163,8,Kings XI Punjab,Lost,76,76 runs,RV Uthappa,,,17.5
57,2011,"Wankhede Stadium, Mumbai",night,Deccan Chargers,bat,Mumbai Indians,125,125/8,Deccan Chargers,135/6,135,6,Deccan Chargers,Lost,10,10 runs,MEK Hussey,,,60
58,2011,"Eden Gardens, Kolkata",night,Mumbai Indians,field,Mumbai Indians,178,178/5,Kolkata Knight Riders,175/7,175,7,Mumbai Indians,Win,2.5,5 wickets (with 0 balls remaining),MEK Hussey,,,
59,2011,"Wankhede Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,148,148/6,Kolkata Knight Riders,147/7,147,7,Mumbai Indians,Win,8,4 wickets (with 4 balls remaining),SK Raina,,,
60,2011,"MA Chidambaram Stadium, Chepauk, Chennai",night,Mumbai Indians,field,Mumbai Indians,142,142/8,RCB,185/4,185,4,Royal Challengers Bangalore,Lost,43,43 runs,M Morkel,,,166.5
61,2012,"Wankhede Stadium, Mumbai",night,Rajasthan Royals,field,Mumbai Indians,197,197/6,Rajasthan Royals,170,170,10,Mumbai Indians,Win,27,27 runs,SPD Smith,,,144
62,2012,"Wankhede Stadium, Mumbai",night,Delhi Daredevils,field,Mumbai Indians,92,92,Delhi Daredevils,93/3,93,3,Delhi Daredevils,Lost,100,7 wickets (with 31 balls remaining),A Nehra,,,
63,2012,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,bat,Mumbai Indians,163,163/6,Kings XI Punjab,164/4,164,4,Kings XI Punjab,Lost,9,6 wickets (with 3 balls remaining),Harbhajan Singh,,,
64,2012,"Subrata Roy Sahara Stadium, Pune",night,Mumbai Indians,bat,Mumbai Indians,120,120/9,Pune Warriors,119/6,119,6,Mumbai Indians,Win,1,1 run,SL Malinga,,,63
65,2012,"Wankhede Stadium, Mumbai",night,Royal Challengers Bangalore,field,Mumbai Indians,141,141/6,RCB,142/1,142,1,Royal Challengers Bangalore,Lost,54,9 wickets (with 12 balls remaining),AT Rayudu,,,
66,2012,"Eden Gardens, Kolkata",day/night,Mumbai Indians,bat,Mumbai Indians,182,182/1,Kolkata Knight Riders,155/4,155,4,Mumbai Indians,Win,27,27 runs,LMP Simmons,,,15
67,2012,"MA Chidambaram Stadium, Chepauk, Chennai",night,Mumbai Indians,field,Mumbai Indians,115,115/2,Chennai Super Kings,112,112,10,Mumbai Indians,Win,76,8 wickets (with 19 balls remaining),HH Pandya,,,
68,2012,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,field,Mumbai Indians,101,101/9,Pune Warriors,129/9,129,9,Pune Warriors,Lost,28,28 runs,KA Pollard,,,36
69,2012,"Dr. Y.S. Rajasekhara Reddy ACA-VDCA Cricket Stadium, Visakhapatnam",night,Deccan Chargers,bat,Mumbai Indians,142,142/5,Deccan Chargers,138/9,138,9,Mumbai Indians,Win,2.5,5 wickets (with 0 balls remaining),RG Sharma,,,
70,2012,"Punjab Cricket Association Stadium, Mohali, Chandigarh",day/night,Kings XI Punjab,bat,Mumbai Indians,171,171/6,Kings XI Punjab,168/3,168,3,Mumbai Indians,Win,2,4 wickets (with 1 ball remaining),AM Rahane,,,
71,2012,"Feroz Shah Kotla, Delhi",night,Mumbai Indians,field,Mumbai Indians,170,170/9,Delhi Daredevils,207/5,207,5,Delhi Daredevils,Lost,37,37 runs,AJ Finch,,,3.5
72,2012,"Wankhede Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,101,101/5,Deccan Chargers,100,100,10,Mumbai Indians,Win,27.5,5 wickets (with 11 balls remaining),DA Warner,,,
73,2012,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,field,Mumbai Indians,174,174/8,Chennai Super Kings,173/8,173,8,Mumbai Indians,Win,1,2 wickets (with 0 balls remaining),PA Patel,,,
74,2012,"M Chinnaswamy Stadium, Bangalore",day/night,Mumbai Indians,field,Mumbai Indians,173,173/5,RCB,171/6,171,6,Mumbai Indians,Win,5,5 wickets (with 2 balls remaining),MP Stoinis,,,
75,2012,"Wankhede Stadium, Mumbai",night,Mumbai Indians,field,Mumbai Indians,108,108,Kolkata Knight Riders,140/7,140,7,Kolkata Knight Riders,Lost,32,32 runs,KH Pandya,,,14
76,2012,"Sawai Mansingh Stadium, Jaipur",night,Rajasthan Royals,bat,Mumbai Indians,163,163/0,Rajasthan Royals,162/6,162,6,Mumbai Indians,Win,60,10 wickets (with 12 balls remaining),SK Raina,,,
77,2012,"M Chinnaswamy Stadium, Bangalore",night,Mumbai Indians,field,Mumbai Indians,149,149/9,Chennai Super Kings,187/5,187,5,Chennai Super Kings,Lost,38,38 runs,SPD Smith,,,108
78,2013,"MA Chidambaram Stadium, Chepauk, Chennai",night,Mumbai Indians,bat,Mumbai Indians,148,148/6,Chennai Super Kings,139/9,139,9,Mumbai Indians,Win,9,9 runs,MJ McClenaghan,,,2.5
79,2013,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,209,209/5,Delhi Daredevils,165/9,165,9,Mumbai Indians,Win,44,44 runs,LMP Simmons,,,99
80,2013,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,bat,Mumbai Indians,183,183/3,Pune Warriors,142/8,142,8,Mumbai Indians,Win,41,41 runs,S Dhawan,,,3.5
81,2013,"Feroz Shah Kotla, Delhi",day/night,Mumbai Indians,bat,Mumbai Indians,161,161/4,Delhi Daredevils,165/1,165,1,Delhi Daredevils,Lost,81,9 wickets (with 18 balls remaining),AT Rayudu,,,
82,2013,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,194,194/7,RCB,136/7,136,7,Mumbai Indians,Win,58,58 runs,KH Pandya,,,42
83,2013,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,174,174/3,Kings XI Punjab,170,170,10,Mumbai Indians,Win,4,4 runs,ML Hayden,,,8
84,2013,"Rajiv Gandhi International Stadium, Uppal, Hyderabad",day/night,Mumbai Indians,bat,Mumbai Indians,129,129/4,Sunrisers Hyderabad,130/3,130,3,Sunrisers Hyderabad,Lost,42,7 wickets (with 12 balls remaining),KC Sangakkara,,,
85,2013,"Wankhede Stadium, Mumbai",day/night,Mumbai Indians,bat,Mumbai Indians,139,139/5,Chennai Super Kings,79,79,10,Mumbai Indians,Win,60,60 runs,ST Jayasuriya,,,
86,2013,"Wankhede Stadium, Mumbai",night,Mumbai Indians,bat,Mumbai Indians,170,170/6,Kolkata Knight Riders,105,105,10,Mumbai Indians,Win,65,65 runs,A Nehra,,,
